"id","candidate","category","source_status","source_url","open_or_reproducible","contract_compatibility","bounded_modal_feasibility","same_metric_schema","new_private_data_required","release_decision","primary_blocker","future_adapter_note"
"SOTA01","BANKSY","neighborhood feature augmentation / clustering","peer_reviewed_core","https://consensus.app/papers/details/265dbe006179502b852c80f2faa3723d/?utm_source=unknown","yes","partial: can consume expression and coordinates but optimizes clustering/cell typing rather than CP-Q residual prediction targets","medium: likely feasible with R/Python bridge but adds new runtime surface","no: output embeddings/clusters/features, not CP-Q prediction tables","no","adapter_only","Task mismatch: would require defining a new feature-to-prediction wrapper, making the comparison about our adapter rather than BANKSY itself.","Future adapter can export BANKSY neighborhood features into the CP-Q method matrix as a frozen feature-transformer baseline."
"SOTA02","GraphST","graph contrastive spatial representation","peer_reviewed_core","https://consensus.app/papers/details/345bdb3e8c1b54158bb4d0ed69e27f12/?utm_source=unknown","yes","partial: consumes AnnData-style spatial data, but targets clustering, integration, and deconvolution","medium: dependency and GPU feasibility likely manageable but not zero-risk","no: representation quality does not directly map to masked-gene/LR/pathway residual metrics","no","adapter_only","Task mismatch and adapter confounding: a supervised head would be needed before CP-Q metrics exist.","Future adapter can freeze GraphST embeddings and train the same CP-Q heads used by lightweight graph aggregation."
"SOTA03","SpaGT","spatial graph transformer","peer_reviewed_core","https://consensus.app/papers/details/2fa25e3e6a2e5f2d8fa7bd362aea6239/?utm_source=unknown","yes_or_likely","partial: spatial graph inputs are aligned, but method is designed for denoising and spatial domains","medium_to_high: new model family and hyperparameter surface","no: denoising/domain outputs are not CP-Q decision rows","no","cite_scope_only","Different objective and substantial adapter work before fair benchmark rows can be generated.","Discuss as high-capacity spatial transformer context; revisit only after CP-Q release."
"SOTA04","STMGraph","dynamic graph attention with remasking","peer_reviewed_core","https://consensus.app/papers/details/3f41f84927aa5dfd8d78bc4661107494/?utm_source=unknown","yes_or_likely","partial: spatial graph compatible, objective differs","medium_to_high: model-specific training and remasking protocol would need reproduction","no: does not natively emit CP-Q supervised task predictions","no","cite_scope_only","Different objective plus risk of unfair implementation variance under release timeline.","Future work can evaluate remasked graph-attention adapters using the CP-Q route contract."
"SOTA05","SpaMask","masked graph autoencoder / contrastive learning","peer_reviewed_core","https://consensus.app/papers/details/93b28a9a2775536eb87ecc8fc3756f7b/?utm_source=unknown","yes_or_likely","partial: closest masked-autoencoder family, but current paper task is spatial-domain characterization","medium_to_high: would require new training objective and adapter head","no: embeddings need an added CP-Q prediction head","no","cite_scope_only","Promising but not a drop-in baseline; replay would measure an unvalidated adapter and delay manuscript completion.","Use as future masked-graph replay candidate if CP-Q8.6J needs a concrete future-work example."
"SOTA06","SiGra","image-augmented graph transformer","peer_reviewed_core","https://consensus.app/papers/details/d842ae06b0bb5e5ab1059579cc0f5c74/?utm_source=unknown","yes","low: requires image/IHC channels not present in standardized CP-Q contracts","low: missing required image modalities in current matrix","no: output is domain/denoised representation, not CP-Q predictions","yes_or_extra_modalities","reject_for_release","Requires image inputs outside the current expression-coordinate benchmark contract.","Can be cited as multimodal context, not used for CP-Q release comparisons."
"SOTA07","Nicheformer","single-cell/spatial foundation model","peer_reviewed_core","https://www.nature.com/articles/s41592-025-02814-z","yes_or_likely","low_to_partial: foundation-model tasks differ and pretrained corpus/tokenization are outside current contracts","low: large pretrained model and new task adapters would alter compute/release scope","no: would require new linear-probe/fine-tune heads and new fairness rules","no","cite_scope_only","High-capacity foundation replay is a separate benchmark project, not a bounded CP-Q8.6 patch.","State that ContextGate-Bench can evaluate future foundation-model outputs once they are adapted to CP-Q schemas."
"SOTA08","Novae","graph spatial foundation model","peer_reviewed_core","https://www.nature.com/articles/s41592-025-02899-6","yes_or_likely","low_to_partial: produces spatial-domain embeddings, not CP-Q residual prediction rows","low: large pretrained/foundation workflow and nested-domain outputs need new evaluation contract","no: no native CP-Q metric schema","no","cite_scope_only","Foundation-model replay would require adapter, calibration, and fairness protocol beyond the current release.","Future adapter can evaluate frozen Novae embeddings under CP-Q route gates."
"SOTA09","Niche-DE / niche-LR","niche differential expression and LR mechanism","peer_reviewed_core","https://consensus.app/papers/details/787a6789b8a556e89859fd0e649cc15f/?utm_source=unknown","yes","partial: statistically close to context-dependent expression but requires cell-type/niche definitions","medium: feasible on labeled datasets, not all CP-Q rows","partial: can produce context-dependent DE/LR evidence but not all CP-Q method metrics","no","adapter_only","Requires a cell-type/niche-specific statistical task, so it cannot replace the generic method matrix without narrowing scope.","Strong candidate for a later focused appendix on niche-specific ContextGate rows."
"SOTA10","COMMOT","optimal-transport cell-cell communication","peer_reviewed_core","https://consensus.app/papers/details/17275d0dcd715213a384f1d0e96eeed6/?utm_source=unknown","yes","partial: compatible with coordinates and expression but optimized for CCC flow, not prediction","medium: feasible but would require CCC-specific preprocessing and LR databases","partial: could produce LR scores, not masked-gene/regret/no-harm rows without adapter","no","adapter_only","CCC score outputs would need a new mapping into CP-Q residual utility and false-context metrics.","Future CCC adapter can compare COMMOT-like scores against CP-Q LR/pathway heuristic rows."
"SOTA11","SCOTIA","spatially constrained optimal transport in PDAC","peer_reviewed_core","https://consensus.app/papers/details/6781c2903bd65168b2ee864c9cdf25b7/?utm_source=unknown","partial: method described in paper, not a general drop-in package in current repo","partial: cancer CCC use case aligned but not generic CP-Q schema","low_to_medium: would require method reconstruction and task narrowing","partial: CCC interaction scores only","no","cite_scope_only","Reproducing SCOTIA fairly would be a method-reconstruction project and not a fast release baseline.","Cite for spatially constrained OT and treatment-associated TME communication context."
"SOTA12","moscot","single-cell/spatial optimal transport framework","peer_reviewed_core","https://consensus.app/papers/details/56b72134626656c4b02d4a64384a6e17/?utm_source=unknown","yes","low_to_partial: spatial alignment/transport framework, not CP-Q neighbor prediction method","medium: package likely feasible but task mismatch is large","no: no direct CP-Q prediction/no-harm rows","no","cite_scope_only","Different primary objective: mapping cells through time/space rather than auditing context utility for supervised targets.","Cite as broader OT context; do not run as CP-Q method row now."
"SOTA13","LIANA+","CCC all-in-one framework","peer_reviewed_core","https://consensus.app/papers/details/0eb491e2b1165c0c8ad4782bf3f76f5e/?utm_source=unknown","yes","partial: compatible with expression/cell groups, but not all datasets have robust labels","medium: feasible for selected labeled subsets","partial: CCC evidence rows only, not full method matrix","no","adapter_only","Requires label-rich CCC-specific subset and would not answer masked-expression/context-router tasks.","Future adapter can benchmark CCC resources under CP-Q LR/pathway gates."
