Dataset,Role,Platform,Cancer/tissue context,Unit,Samples,Donors,Units,Genes,Coordinates,Labels,Access,Skip reason,Claim scope,Completed jobs,Skipped jobs,Failed jobs
CosMx BCC 6K,Included,CosMx,basal cell carcinoma,cell,8,4,20000,6195,available cell centroids,source celltype labels available,public cached modal,not applicable,high gene depth negative context evidence,252,0,0
CosMx NSCLC,Included,CosMx,lung nsclc,cell,1,1,8000,980,available cell centroids,marker rule labels available,public cached modal,not applicable,fov stratified negative context evidence,360,180,0
CosMx PDAC metastasis,Included,CosMx,pancreatic metastasis,cell,7,3,8400,1010,available cell centroids,source labels plus marker fallback,public cached modal,not applicable,borderline preflight and negative robustness evidence,540,0,0
CosMx PDAC 1K,Included,CosMx,pancreatic cancer,cell,8,8,30000,1000,available cell centroids,marker rule labels available,public cached modal,not applicable,negative broad context and exploratory localized evidence,252,0,0
Xenium breast biomarkers,Included,Xenium,breast cancer,cell,12,12,6000,542,available cell centroids,joined cell groups available,public cached modal,not applicable,section heldout negative context and label baseline evidence,588,0,0
Xenium breast 5K,Included,Xenium,breast cancer,cell,1,1,1000,9475,available cell centroids,placeholder only,public cached modal,not applicable,within dataset contract and negative context evidence,332,256,0
GSE311609 Xenium,Validation frozen,Xenium,lung and breast cancer,cell,41,27,0,5000,expected in xenium outputs,analysis level labels not yet joined,public source frozen preprocessing heavy,file format conversion blocked,validation scale future replay only,0,0,0
Discovery index,Rejected/access blocked,mixed,mixed,mixed,0,0,0,0,unknown,unknown,rejected index only,inaccessible or gated source,rejected dataset ledger only,0,0,0
HTAPP MBC MERFISH,Rejected/access blocked,MERFISH,metastatic breast cancer,cell,0,0,0,0,inaccessible for modal pipeline,inaccessible for modal pipeline,rejected no clean public merfish h5ad,inaccessible or gated source,rejected dataset ledger only,0,0,0
Private/login sources,Rejected/access blocked,mixed,mixed,cell,0,0,0,0,unknown,unknown,rejected not cleanly reproducible,inaccessible or gated source,rejected dataset ledger only,0,0,0
scRNA+Visium claim,Rejected/access blocked,scRNA_plus_Visium,mixed,inferred cell or spot,0,0,0,0,inferred or spot level,inferred,rejected deconvolution not true cells,missing cell level coordinates,rejected dataset ledger only,0,0,0
Spot-level Visium,Rejected/access blocked,Visium,mixed,spot,0,0,0,0,spot coordinates only,deconvolution dependent,rejected not true cell level,missing cell level coordinates,rejected dataset ledger only,0,0,0
