failure_taxonomy_id,source_table,benchmark_row_id,dataset_id,task_id,method_id,route_label,failure_class,failure_reason,evidence_pointer,claim_downgrade,artifact_registry_ids,severity,split_id,seed,control_level
ft_18a7a094ec39,method_predictions,contextgate_bench_v0_cp_q2_smoke:always_true_neighbor_mean:16,cosmx_6k_bcc_yerly_2024,context_utility_detection,always_true_neighbor_mean,full_context,fov_or_sample_artifact,Method used context on a row whose evidence label is expression-only.,results/reports/cp_q2_method_comparison/method_predictions.parquet#contextgate_bench_v0_cp_q2_smoke:always_true_neighbor_mean:16,no_spatial_neighbor_claim_without_controls,cp_q2_method_comparison,medium,heldout_evaluation,0,not_applicable
ft_fb554d66c91f,method_predictions,contextgate_bench_v0_cp_q2_smoke:always_true_neighbor_mean:17,cosmx_6k_bcc_yerly_2024,context_utility_detection,always_true_neighbor_mean,full_context,fov_or_sample_artifact,Method used context on a row whose evidence label is expression-only.,results/reports/cp_q2_method_comparison/method_predictions.parquet#contextgate_bench_v0_cp_q2_smoke:always_true_neighbor_mean:17,no_spatial_neighbor_claim_without_controls,cp_q2_method_comparison,medium,heldout_evaluation,0,not_applicable
ft_37d717b30251,method_predictions,contextgate_bench_v0_cp_q2_smoke:coordinate_shuffled_control_model:16,cosmx_6k_bcc_yerly_2024,context_utility_detection,coordinate_shuffled_control_model,full_context,fov_or_sample_artifact,Method used context on a row whose evidence label is expression-only.,results/reports/cp_q2_method_comparison/method_predictions.parquet#contextgate_bench_v0_cp_q2_smoke:coordinate_shuffled_control_model:16,no_spatial_neighbor_claim_without_controls,cp_q2_method_comparison,medium,heldout_evaluation,0,not_applicable
ft_bca9f0e539bd,method_predictions,contextgate_bench_v0_cp_q2_smoke:coordinate_shuffled_control_model:17,cosmx_6k_bcc_yerly_2024,context_utility_detection,coordinate_shuffled_control_model,full_context,fov_or_sample_artifact,Method used context on a row whose evidence label is expression-only.,results/reports/cp_q2_method_comparison/method_predictions.parquet#contextgate_bench_v0_cp_q2_smoke:coordinate_shuffled_control_model:17,no_spatial_neighbor_claim_without_controls,cp_q2_method_comparison,medium,heldout_evaluation,0,not_applicable
ft_7f5edfea9007,method_predictions,contextgate_bench_v0_cp_q2_smoke:distant_neighbor_control_model:16,cosmx_6k_bcc_yerly_2024,context_utility_detection,distant_neighbor_control_model,full_context,fov_or_sample_artifact,Method used context on a row whose evidence label is expression-only.,results/reports/cp_q2_method_comparison/method_predictions.parquet#contextgate_bench_v0_cp_q2_smoke:distant_neighbor_control_model:16,no_spatial_neighbor_claim_without_controls,cp_q2_method_comparison,medium,heldout_evaluation,0,not_applicable
ft_4b9ef1289e8b,method_predictions,contextgate_bench_v0_cp_q2_smoke:distant_neighbor_control_model:17,cosmx_6k_bcc_yerly_2024,context_utility_detection,distant_neighbor_control_model,full_context,fov_or_sample_artifact,Method used context on a row whose evidence label is expression-only.,results/reports/cp_q2_method_comparison/method_predictions.parquet#contextgate_bench_v0_cp_q2_smoke:distant_neighbor_control_model:17,no_spatial_neighbor_claim_without_controls,cp_q2_method_comparison,medium,heldout_evaluation,0,not_applicable
ft_c529d4c4f660,method_predictions,contextgate_bench_v0_cp_q2_smoke:random_neighbor_control_model:16,cosmx_6k_bcc_yerly_2024,context_utility_detection,random_neighbor_control_model,full_context,fov_or_sample_artifact,Method used context on a row whose evidence label is expression-only.,results/reports/cp_q2_method_comparison/method_predictions.parquet#contextgate_bench_v0_cp_q2_smoke:random_neighbor_control_model:16,no_spatial_neighbor_claim_without_controls,cp_q2_method_comparison,medium,heldout_evaluation,0,not_applicable
ft_0f8a0051fa7f,method_predictions,contextgate_bench_v0_cp_q2_smoke:random_neighbor_control_model:17,cosmx_6k_bcc_yerly_2024,context_utility_detection,random_neighbor_control_model,full_context,fov_or_sample_artifact,Method used context on a row whose evidence label is expression-only.,results/reports/cp_q2_method_comparison/method_predictions.parquet#contextgate_bench_v0_cp_q2_smoke:random_neighbor_control_model:17,no_spatial_neighbor_claim_without_controls,cp_q2_method_comparison,medium,heldout_evaluation,0,not_applicable
ft_0c6451dc7d52,run_context_utility,cus_017,cosmx_6k_bcc_yerly_2024,context_utility_detection,contextgate_evidence_gate,expression_only,labels_not_replicated,"Candidate context signal did not survive held-out, bio-gate, conditioned, or validation replay checks.",results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_017,no_heldout_generalization_claim,cosmx_6k_bcc_yerly_2024/CP-6K/cp6l_cosmx_6k_bcc_s12000,high,not_recorded,not_recorded,not_applicable
ft_ef410abe4271,run_context_utility,cus_018,cosmx_6k_bcc_yerly_2024,context_utility_detection,contextgate_evidence_gate,expression_only,labels_not_replicated,"Candidate context signal did not survive held-out, bio-gate, conditioned, or validation replay checks.",results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_018,no_heldout_generalization_claim,cosmx_6k_bcc_yerly_2024/CP-6K/cp6l_cosmx_6k_bcc_s20000,high,not_recorded,not_recorded,not_applicable
ft_4d0050b20cfb,stratum_context_utility,cus_017:exploratory_localized_lead_found,cosmx_6k_bcc_yerly_2024,not_recorded,contextgate_evidence_gate,expression_only,insufficient_power,localized exploratory lead found without strict gate pass,results/reports/cp_r1_context_utility_atlas/stratum_context_utility.parquet#cus_017:exploratory_localized_lead_found,abstain_until_more_power_or_replicates,cosmx_6k_bcc_yerly_2024/CP-6K,medium,not_recorded,not_recorded,registered_gate
ft_c09faebd2639,stratum_context_utility,cus_018:exploratory_localized_lead_found,cosmx_6k_bcc_yerly_2024,not_recorded,contextgate_evidence_gate,expression_only,insufficient_power,localized exploratory lead found without strict gate pass,results/reports/cp_r1_context_utility_atlas/stratum_context_utility.parquet#cus_018:exploratory_localized_lead_found,abstain_until_more_power_or_replicates,cosmx_6k_bcc_yerly_2024/CP-6K,medium,not_recorded,not_recorded,registered_gate
ft_3a07c6c0f06a,stratum_context_utility,cus_017:strict_conditioned_gate_passed,cosmx_6k_bcc_yerly_2024,not_recorded,contextgate_evidence_gate,expression_only,labels_not_replicated,conditioned/localized strict FDR-controlled gate passed,results/reports/cp_r1_context_utility_atlas/stratum_context_utility.parquet#cus_017:strict_conditioned_gate_passed,no_heldout_generalization_claim,cosmx_6k_bcc_yerly_2024/CP-6K,medium,not_recorded,not_recorded,registered_gate
ft_c9099afc2d5c,stratum_context_utility,cus_018:strict_conditioned_gate_passed,cosmx_6k_bcc_yerly_2024,not_recorded,contextgate_evidence_gate,expression_only,labels_not_replicated,conditioned/localized strict FDR-controlled gate passed,results/reports/cp_r1_context_utility_atlas/stratum_context_utility.parquet#cus_018:strict_conditioned_gate_passed,no_heldout_generalization_claim,cosmx_6k_bcc_yerly_2024/CP-6K,medium,not_recorded,not_recorded,registered_gate
ft_c90b55936739,contextgate_benchmark_manifest.dataset_cards,discovery_index_without_direct_artifact:dataset_card,discovery_index_without_direct_artifact,dataset_access,not_applicable,rejected_or_skipped,access_or_schema_blocker,Dataset is rejected or access-blocked for benchmark use: inaccessible_or_gated_source.,SCAR_or_scpanstroma_index_pages,rejected_dataset_ledger_only,contextgate_benchmark_manifest,high,not_recorded,not_recorded,not_applicable
ft_8d2e066d0b80,method_predictions,contextgate_bench_v0_cp_q2_smoke:always_true_neighbor_mean:18,gse277782_cosmx_pdac_metastasis,context_utility_detection,always_true_neighbor_mean,full_context,fov_or_sample_artifact,Method used context on a row whose evidence label is expression-only.,results/reports/cp_q2_method_comparison/method_predictions.parquet#contextgate_bench_v0_cp_q2_smoke:always_true_neighbor_mean:18,no_spatial_neighbor_claim_without_controls,cp_q2_method_comparison,medium,heldout_evaluation,0,not_applicable
ft_9dfe5d51c4da,method_predictions,contextgate_bench_v0_cp_q2_smoke:coordinate_shuffled_control_model:18,gse277782_cosmx_pdac_metastasis,context_utility_detection,coordinate_shuffled_control_model,full_context,fov_or_sample_artifact,Method used context on a row whose evidence label is expression-only.,results/reports/cp_q2_method_comparison/method_predictions.parquet#contextgate_bench_v0_cp_q2_smoke:coordinate_shuffled_control_model:18,no_spatial_neighbor_claim_without_controls,cp_q2_method_comparison,medium,heldout_evaluation,0,not_applicable
ft_c16c19adf188,method_predictions,contextgate_bench_v0_cp_q2_smoke:distant_neighbor_control_model:18,gse277782_cosmx_pdac_metastasis,context_utility_detection,distant_neighbor_control_model,full_context,fov_or_sample_artifact,Method used context on a row whose evidence label is expression-only.,results/reports/cp_q2_method_comparison/method_predictions.parquet#contextgate_bench_v0_cp_q2_smoke:distant_neighbor_control_model:18,no_spatial_neighbor_claim_without_controls,cp_q2_method_comparison,medium,heldout_evaluation,0,not_applicable
ft_8f7657b427b6,method_predictions,contextgate_bench_v0_cp_q2_smoke:random_neighbor_control_model:18,gse277782_cosmx_pdac_metastasis,context_utility_detection,random_neighbor_control_model,full_context,fov_or_sample_artifact,Method used context on a row whose evidence label is expression-only.,results/reports/cp_q2_method_comparison/method_predictions.parquet#contextgate_bench_v0_cp_q2_smoke:random_neighbor_control_model:18,no_spatial_neighbor_claim_without_controls,cp_q2_method_comparison,medium,heldout_evaluation,0,not_applicable
ft_da0c64d111d6,run_context_utility,cus_011,gse277782_cosmx_pdac_metastasis,context_utility_detection,contextgate_evidence_gate,abstain_uncertain,insufficient_power,"Evidence is underpowered, metadata-only, FDR-uncontrolled, or preflight/borderline rather than strict replicated benchmark evidence.",results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_011,abstain_until_more_power_or_replicates,gse277782_cosmx_pdac_metastasis/CP-6G/cp6g_gse277782_slides12_s10080,low,not_recorded,not_recorded,not_applicable
ft_91abcc3b9e22,run_context_utility,cus_012,gse277782_cosmx_pdac_metastasis,context_utility_detection,contextgate_evidence_gate,abstain_uncertain,insufficient_power,"Evidence is underpowered, metadata-only, FDR-uncontrolled, or preflight/borderline rather than strict replicated benchmark evidence.",results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_012,abstain_until_more_power_or_replicates,gse277782_cosmx_pdac_metastasis/CP-6G/cp6g_gse277782_slides12_s12600,low,not_recorded,not_recorded,not_applicable
ft_ca676c800268,run_context_utility,cus_013,gse277782_cosmx_pdac_metastasis,context_utility_detection,contextgate_evidence_gate,abstain_uncertain,insufficient_power,"Evidence is underpowered, metadata-only, FDR-uncontrolled, or preflight/borderline rather than strict replicated benchmark evidence.",results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_013,abstain_until_more_power_or_replicates,gse277782_cosmx_pdac_metastasis/CP-6G/cp6g_gse277782_slides12_s16800,low,not_recorded,not_recorded,not_applicable
