"id","cp_q8_6_card","work_type","changed_code","changed_modal_entrypoint","changed_benchmark_semantics","changed_existing_artifact_schema","new_method_or_sota_adapter","required_rerun_level","modal_required","decision","evidence"
"MRI01","CP-Q8.6A reviewer gap ledger","prose/scope ledger","no","no","no","no","no","1_no_modal_rerun","no","no_modal","Documentation-only gap ledger and claim boundary; no code, schema, method, or benchmark semantics changed."
"MRI02","CP-Q8.6B method reproducibility cards","method documentation","no","no","no","no","no","1_no_modal_rerun","no","no_modal","Method cards document existing CP-Q2/CP-Q6 method families; they do not alter implementations or registered metrics."
"MRI03","CP-Q8.6C formal ContextGate route contract","formal decision documentation","no","no","no","no","no","1_no_modal_rerun","no","no_modal","Contract mirrors existing ContextGate/failure-taxonomy logic; no route implementation or benchmark semantics changed."
"MRI04","CP-Q8.6D expanded quantitative tables","derived tables from registered artifacts","yes: local table builder only","no","no","no","no","2_local_rebuild_only","no","local_rebuild_only","S10-S17 tables are derived from existing CP-Q2/CP-Q6/CP-Q7 artifacts; local builder and table tests validated outputs."
"MRI05","CP-Q8.6E threshold calibration and detectability audit","derived calibration tables/audit","yes: local table builder only","no","no","no","no","2_local_rebuild_only","no","local_rebuild_only","S18-S20 tables reuse existing CP-Q3/CP-Q7 calibration and signal-strength artifacts; no new calibration Modal run needed."
"MRI06","CP-Q8.6F leakage/downgrade/residualization audit","derived audit tables/prose","yes: local table builder only","no","no","no","no","2_local_rebuild_only","no","local_rebuild_only","S21-S23 tables reuse registered CP-Q4/CP-Q5/CP-Q6/CP-Q7 artifacts; no cloud path changed."
"MRI07","CP-Q8.6G related-work expansion","literature/citation guardrails","no","no","no","no","no","1_no_modal_rerun","no","no_modal","Citation ledger only; no method rows, code paths, or benchmark outputs changed."
"MRI08","CP-Q8.6H optional SOTA feasibility","feasibility/no-replay decision","no","no","no","no","no: rejected for current release","1_no_modal_rerun","no","no_modal","SOTA gate selected cite-scope/adapters-for-future rather than run_limited_replay; no adapter or benchmark row was added."
"MRI09","CP-Q8.6I rerun decision log","rerun policy artifact","no","no","no","no","no","1_no_modal_rerun","no","no_modal","This artifact records the rerun decision itself; validation is local parsing, tests, lint, compile, and diff checks."
"MRI10","CP-Q8.6J manuscript/supplement integration","manuscript/prose/table references","pending","pending","pending","pending","pending","2_local_rebuild_only_expected","no_expected","local_rebuild_expected","Expected to integrate existing artifacts and compile LaTeX locally; escalate only if CP-Q8.6J changes code, schemas, or benchmark semantics."
"MRI11","CP-Q8.6K final verification","final compile/visual QA/release check","pending","pending","pending","pending","pending","2_local_rebuild_only_expected","no_expected","local_rebuild_expected","Expected to compile, inspect, and validate release artifacts locally; Modal only if CP-Q8.6J introduces a new trigger."
