router_label_id,context_utility_id,source_phase,source_dataset,run_label,evidence_class,label_family,route_label,training_route_label,candidate_route_from_cp_r1,label_usage,training_eligible,uses_heldout_biological_outcome,leakage_risk,leakage_reason,biological_claim_allowed,positive_control_only,context_utility_score,confidence_level,fdr_alpha,fdr_controlled,statistics_source,decision,claim_rationale,stratum_gate_count,sample_id_count,fov_id_count,cell_type_count,pathway_count,split_metadata_status,split_key,split_bucket,deterministic_split
rl_001,cus_001,CP-4.10,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,negative_context,biological_context_negative,expression_only,abstain_uncertain,expression_only,evaluation_only,False,True,blocked_high,Biological outcome rows are held out from router training.,False,False,0.0,0.95,not_recorded,False,registry_command_metadata,not_recorded,Strict biological context gates were evaluated and did not pass.,4,0,0,0,0,run_level_only,xenium_breast_v1|cp3lr_mu128_mg128_k5_steps12|CP-4.10|cus_001,95,heldout_evaluation
rl_002,cus_002,CP-4.11,xenium_breast_biomarkers_v1,cp6a_loader_smoke,negative_context,biological_context_negative,expression_only,abstain_uncertain,expression_only,evaluation_only,False,True,blocked_high,Biological outcome rows are held out from router training.,False,False,0.0,0.95,not_recorded,False,registry_command_metadata,expand_second_dataset_sections_first,Strict biological context gates were evaluated and did not pass.,4,0,0,0,0,run_level_only,xenium_breast_biomarkers_v1|cp6a_loader_smoke|CP-4.11|cus_002,15,heldout_evaluation
rl_003,cus_003,CP-4.11,xenium_breast_biomarkers_v1,cp6b_loader_top4_s1000,negative_context,biological_context_negative,expression_only,abstain_uncertain,expression_only,evaluation_only,False,True,blocked_high,Biological outcome rows are held out from router training.,False,False,0.0,0.95,not_recorded,False,registry_command_metadata,expand_second_dataset_sections_first,Strict biological context gates were evaluated and did not pass.,4,0,0,0,0,run_level_only,xenium_breast_biomarkers_v1|cp6b_loader_top4_s1000|CP-4.11|cus_003,56,heldout_evaluation
rl_004,cus_004,CP-4.11,xenium_breast_biomarkers_v1,cp6c_loader_all12_s500,negative_context,biological_context_negative,expression_only,abstain_uncertain,expression_only,evaluation_only,False,True,blocked_high,Biological outcome rows are held out from router training.,False,False,0.0,0.95,not_recorded,False,registry_command_metadata,search_for_new_dataset,Strict biological context gates were evaluated and did not pass.,4,0,0,0,0,run_level_only,xenium_breast_biomarkers_v1|cp6c_loader_all12_s500|CP-4.11|cus_004,1,heldout_evaluation
rl_005,cus_005,CP-4.7,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,negative_context,biological_context_negative,expression_only,abstain_uncertain,expression_only,evaluation_only,False,True,blocked_high,Biological outcome rows are held out from router training.,False,False,0.0,0.95,not_recorded,False,registry_command_metadata,not_recorded,Strict biological context gates were evaluated and did not pass.,3,0,0,0,0,run_level_only,xenium_breast_v1|cp3lr_mu128_mg128_k5_steps12|CP-4.7|cus_005,62,heldout_evaluation
rl_006,cus_006,CP-4.7R,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,insufficient_evidence,uncertain_or_metadata,abstain_uncertain,abstain_uncertain,metadata_only,train_allowed,True,False,low,Metadata or coverage evidence can train abstention behavior.,False,False,0.05,not_recorded,not_recorded,False,registry_metadata_only,not_recorded,Registered artifacts do not contain a context-utility gate.,1,0,0,0,0,run_level_only,xenium_breast_v1|cp3lr_mu128_mg128_k5_steps12|CP-4.7R|cus_006,31,train_metadata
rl_007,cus_007,CP-4.8,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,positive_control_only,synthetic_positive_control,full_context,full_context,abstain_uncertain,train_allowed,True,False,low,Synthetic/injected signal can train route mechanics only.,False,True,0.7,0.95,not_recorded,False,registry_command_metadata,not_recorded,"Positive-control context signal passed, but it is not biological proof.",1,0,0,0,0,run_level_only,xenium_breast_v1|cp3lr_mu128_mg128_k5_steps12|CP-4.8|cus_007,36,train_synthetic
rl_008,cus_008,CP-4.9,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,negative_context,biological_context_negative,expression_only,abstain_uncertain,expression_only,evaluation_only,False,True,blocked_high,Biological outcome rows are held out from router training.,False,False,0.0,0.95,not_recorded,False,registry_command_metadata,not_recorded,Strict biological context gates were evaluated and did not pass.,3,0,0,0,0,run_level_only,xenium_breast_v1|cp3lr_mu128_mg128_k5_steps12|CP-4.9|cus_008,93,heldout_evaluation
rl_009,cus_009,CP-6E,cosmx_nsclc_ffpe_v1,cp6e_lung9_rep1_s5000,coverage_only,uncertain_or_metadata,abstain_uncertain,abstain_uncertain,metadata_only,train_allowed,True,False,low,Metadata or coverage evidence can train abstention behavior.,False,False,0.1,not_recorded,not_recorded,False,registry_metadata_only,proceed_to_cosmx_adapter,Coverage or split feasibility is present without context-utility proof.,0,0,0,0,0,run_level_only,cosmx_nsclc_ffpe_v1|cp6e_lung9_rep1_s5000|CP-6E|cus_009,99,validation_metadata
rl_010,cus_010,CP-6F,cosmx_nsclc_ffpe_v1,cp6f_lung9_rep1_fovstrat_s8000,coverage_only,uncertain_or_metadata,abstain_uncertain,abstain_uncertain,metadata_only,train_allowed,True,False,low,Metadata or coverage evidence can train abstention behavior.,False,False,0.1,not_recorded,not_recorded,False,registry_metadata_only,start_cp6g_gse277782,Coverage or split feasibility is present without context-utility proof.,0,0,0,0,0,run_level_only,cosmx_nsclc_ffpe_v1|cp6f_lung9_rep1_fovstrat_s8000|CP-6F|cus_010,84,validation_metadata
