context_utility_id,phase,source_dataset,run_label,evidence_class,route_recommendation,context_utility_score,claim_rationale,decision,artifact_count,available_pair_count,available_module_target_count,row_or_unit_count,gene_count,positive_run_count,confidence_level,fdr_alpha,fdr_controlled,statistics_source,artifact_families,proof_gate_passed,masked_gene_gate_passed,ligand_receptor_gate_passed,raw_receptor_signal_gate_passed,residual_receptor_gate_passed,residual_module_gate_passed,contrastive_context_gate_passed,residual_signal_gate_passed,bio_gate_replay_passed,strict_conditioned_gate_passed,target_coverage_gate_passed,spatial_label_gate_passed,heldout_gate_passed,exploratory_localized_lead_found,positive_control_gate_passed,upstream_cp47_proof_gate_passed
cus_001,CP-4.10,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,negative_context,expression_only,0.0,Strict biological context gates were evaluated and did not pass.,not_recorded,16,,,,,,0.95,,False,registry_command_metadata,cp410_claim_audit;cp410_contrastive_downstream_associations;cp410_contrastive_metrics;cp410_contrastive_scores;cp410_modal_summary;cp410_module_targets;cp410_pair_availability;cp410_report;cp410_residual_comparisons;cp410_residual_metrics;cp410_residual_unit_scores;cp410_selected_pairs;cp410_signal_associations;cp410_signal_comparisons;cp410_summary;cp410_variant_signal_table,,,,False,False,False,False,,,,,,,,,
cus_002,CP-4.11,xenium_breast_biomarkers_v1,cp6a_loader_smoke,negative_context,expression_only,0.0,Strict biological context gates were evaluated and did not pass.,expand_second_dataset_sections_first,11,2.0,5.0,,,,0.95,,False,registry_command_metadata,cp411_claim_audit;cp411_label_spatial_comparisons;cp411_label_spatial_metrics;cp411_modal_summary;cp411_module_coverage;cp411_pair_coverage;cp411_report;cp411_residual_comparisons;cp411_residual_summary;cp411_split_feasibility;cp411_summary,,,,,,,,False,,,True,True,True,,,
cus_003,CP-4.11,xenium_breast_biomarkers_v1,cp6b_loader_top4_s1000,negative_context,expression_only,0.0,Strict biological context gates were evaluated and did not pass.,expand_second_dataset_sections_first,11,2.0,5.0,,,,0.95,,False,registry_command_metadata,cp411_claim_audit;cp411_label_spatial_comparisons;cp411_label_spatial_metrics;cp411_modal_summary;cp411_module_coverage;cp411_pair_coverage;cp411_report;cp411_residual_comparisons;cp411_residual_summary;cp411_split_feasibility;cp411_summary,,,,,,,,False,,,True,True,True,,,
cus_004,CP-4.11,xenium_breast_biomarkers_v1,cp6c_loader_all12_s500,negative_context,expression_only,0.0,Strict biological context gates were evaluated and did not pass.,search_for_new_dataset,11,2.0,5.0,,,,0.95,,False,registry_command_metadata,cp411_claim_audit;cp411_label_spatial_comparisons;cp411_label_spatial_metrics;cp411_modal_summary;cp411_module_coverage;cp411_pair_coverage;cp411_report;cp411_residual_comparisons;cp411_residual_summary;cp411_split_feasibility;cp411_summary,,,,,,,,False,,,True,True,True,,,
cus_005,CP-4.7,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,negative_context,expression_only,0.0,Strict biological context gates were evaluated and did not pass.,not_recorded,51,,,,,,0.95,,False,registry_command_metadata,all_variant_predictions;all_variant_sequences;center_only_cellpack_tiny_trained_metrics;center_only_cellpack_tiny_trained_predictions;center_only_cellpack_tiny_trained_state;center_only_cellpack_tiny_trained_summary;center_only_cellpack_tiny_training_history;center_only_sequences;coordinate_shuffled_cellpack_tiny_trained_metrics;coordinate_shuffled_cellpack_tiny_trained_predictions;coordinate_shuffled_cellpack_tiny_trained_state;coordinate_shuffled_cellpack_tiny_trained_summary;coordinate_shuffled_cellpack_tiny_training_history;coordinate_shuffled_sequences;cp47_claim_audit;cp47_ligand_receptor_comparisons;cp47_masked_gene_comparisons;cp47_modal_summary;cp47_report;cp47_summary;distant_neighbor_cellpack_tiny_trained_metrics;distant_neighbor_cellpack_tiny_trained_predictions;distant_neighbor_cellpack_tiny_trained_state;distant_neighbor_cellpack_tiny_trained_summary;distant_neighbor_cellpack_tiny_training_history;distant_neighbor_sequences;lr_pair_availability;lr_recovery_aggregate_metrics;lr_recovery_center_scores;lr_recovery_pair_metrics;lr_recovery_summary;masked_gene_gene_metrics;masked_gene_metrics;masked_gene_paired_comparisons;masked_gene_stratified_metrics;masked_gene_summary;masked_gene_targets;random_neighbor_cellpack_tiny_trained_metrics;random_neighbor_cellpack_tiny_trained_predictions;random_neighbor_cellpack_tiny_trained_state;random_neighbor_cellpack_tiny_trained_summary;random_neighbor_cellpack_tiny_training_history;random_neighbor_sequences;true_neighbor_cellpack_tiny_trained_metrics;true_neighbor_cellpack_tiny_trained_predictions;true_neighbor_cellpack_tiny_trained_state;true_neighbor_cellpack_tiny_trained_summary;true_neighbor_cellpack_tiny_training_history;true_neighbor_sequences;unified_token_vocabulary;variant_manifest,False,False,False,,,,,,,,,,,,,
cus_006,CP-4.7R,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,insufficient_evidence,metadata_only,0.05,Registered artifacts do not contain a context-utility gate.,not_recorded,9,,,,,,,,False,registry_metadata_only,cp47r_gene_sensitivity_summary;cp47r_masked_target_sensitivity;cp47r_modal_summary;cp47r_prediction_deltas;cp47r_recommendation;cp47r_report;cp47r_sensitivity_predictions;cp47r_summary;cp47r_variant_delta_summary,,,,,,,,,,,,,,,,False
cus_007,CP-4.8,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,positive_control_only,abstain_uncertain,0.7,"Positive-control context signal passed, but it is not biological proof.",not_recorded,177,,,,,,0.95,,False,registry_command_metadata,all_variant_predictions;all_variant_sequences;center_only_cellpack_tiny_trained_metrics;center_only_cellpack_tiny_trained_predictions;center_only_cellpack_tiny_trained_state;center_only_cellpack_tiny_trained_summary;center_only_cellpack_tiny_training_history;center_only_sequences;coordinate_shuffled_cellpack_tiny_trained_metrics;coordinate_shuffled_cellpack_tiny_trained_predictions;coordinate_shuffled_cellpack_tiny_trained_state;coordinate_shuffled_cellpack_tiny_trained_summary;coordinate_shuffled_cellpack_tiny_training_history;coordinate_shuffled_sequences;cp48_claim_audit;cp48_comparisons;cp48_modal_summary;cp48_report;cp48_summary;cp48_target_scores;distant_neighbor_cellpack_tiny_trained_metrics;distant_neighbor_cellpack_tiny_trained_predictions;distant_neighbor_cellpack_tiny_trained_state;distant_neighbor_cellpack_tiny_trained_summary;distant_neighbor_cellpack_tiny_training_history;distant_neighbor_sequences;positive_control_pair_availability;positive_control_selected_pairs;positive_control_target_summary;positive_control_targets;positive_control_variant_signals;random_neighbor_cellpack_tiny_trained_metrics;random_neighbor_cellpack_tiny_trained_predictions;random_neighbor_cellpack_tiny_trained_state;random_neighbor_cellpack_tiny_trained_summary;random_neighbor_cellpack_tiny_training_history;random_neighbor_sequences;synthetic_expression_matrix;true_neighbor_cellpack_tiny_trained_metrics;true_neighbor_cellpack_tiny_trained_predictions;true_neighbor_cellpack_tiny_trained_state;true_neighbor_cellpack_tiny_trained_summary;true_neighbor_cellpack_tiny_training_history;true_neighbor_sequences;unified_token_vocabulary;variant_manifest,,,,,,,,,,,,,,,True,
cus_008,CP-4.9,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,negative_context,expression_only,0.0,Strict biological context gates were evaluated and did not pass.,not_recorded,56,,,,,,0.95,,False,registry_command_metadata,all_variant_predictions;all_variant_sequences;center_only_cellpack_tiny_trained_metrics;center_only_cellpack_tiny_trained_predictions;center_only_cellpack_tiny_trained_state;center_only_cellpack_tiny_trained_summary;center_only_cellpack_tiny_training_history;center_only_sequences;context_signal_pair_availability;context_signal_selected_pairs;context_signal_selection_summary;context_signal_token_audit;context_signal_variant_signals;coordinate_shuffled_cellpack_tiny_trained_metrics;coordinate_shuffled_cellpack_tiny_trained_predictions;coordinate_shuffled_cellpack_tiny_trained_state;coordinate_shuffled_cellpack_tiny_trained_summary;coordinate_shuffled_cellpack_tiny_training_history;coordinate_shuffled_sequences;cp47_claim_audit;cp47_ligand_receptor_comparisons;cp47_masked_gene_comparisons;cp47_report;cp47_summary;cp49_modal_summary;distant_neighbor_cellpack_tiny_trained_metrics;distant_neighbor_cellpack_tiny_trained_predictions;distant_neighbor_cellpack_tiny_trained_state;distant_neighbor_cellpack_tiny_trained_summary;distant_neighbor_cellpack_tiny_training_history;distant_neighbor_sequences;lr_pair_availability;lr_recovery_aggregate_metrics;lr_recovery_center_scores;lr_recovery_pair_metrics;lr_recovery_summary;masked_gene_gene_metrics;masked_gene_metrics;masked_gene_paired_comparisons;masked_gene_stratified_metrics;masked_gene_summary;masked_gene_targets;random_neighbor_cellpack_tiny_trained_metrics;random_neighbor_cellpack_tiny_trained_predictions;random_neighbor_cellpack_tiny_trained_state;random_neighbor_cellpack_tiny_trained_summary;random_neighbor_cellpack_tiny_training_history;random_neighbor_sequences;true_neighbor_cellpack_tiny_trained_metrics;true_neighbor_cellpack_tiny_trained_predictions;true_neighbor_cellpack_tiny_trained_state;true_neighbor_cellpack_tiny_trained_summary;true_neighbor_cellpack_tiny_training_history;true_neighbor_sequences;unified_token_vocabulary;variant_manifest,False,False,False,,,,,,,,,,,,,
cus_009,CP-6E,cosmx_nsclc_ffpe_v1,cp6e_lung9_rep1_s5000,coverage_only,metadata_only,0.1,Coverage or split feasibility is present without context-utility proof.,proceed_to_cosmx_adapter,31,16.0,,5000.0,980.0,,,,False,registry_metadata_only,control_graph_diagnostics;control_graph_summary;control_neighbors;cp410_claim_audit;cp410_contrastive_downstream_associations;cp410_contrastive_metrics;cp410_contrastive_scores;cp410_module_targets;cp410_pair_availability;cp410_report;cp410_residual_comparisons;cp410_residual_metrics;cp410_residual_unit_scores;cp410_selected_pairs;cp410_signal_associations;cp410_signal_comparisons;cp410_summary;cp410_variant_signal_table;cp6e_modal_summary;expression_matrix;expression_metadata;gene_vocabulary;label_summary;loader_summary;pair_availability;spatial_graph_diagnostics;spatial_graph_summary;spatial_neighbors;split_assignments;split_summary;unit_table,,,,,,,,,,,,,,,,
cus_010,CP-6F,cosmx_nsclc_ffpe_v1,cp6f_lung9_rep1_fovstrat_s8000,coverage_only,metadata_only,0.1,Coverage or split feasibility is present without context-utility proof.,start_cp6g_gse277782,35,16.0,,8000.0,980.0,,,,False,registry_metadata_only,control_graph_diagnostics;control_graph_summary;control_neighbors;cp410_claim_audit;cp410_contrastive_downstream_associations;cp410_contrastive_metrics;cp410_contrastive_scores;cp410_module_targets;cp410_pair_availability;cp410_report;cp410_residual_comparisons;cp410_residual_metrics;cp410_residual_unit_scores;cp410_selected_pairs;cp410_signal_associations;cp410_signal_comparisons;cp410_summary;cp410_variant_signal_table;cp6f_modal_summary;direct_label_summary;expression_matrix;expression_metadata;gene_vocabulary;label_summary;loader_summary;marker_label_summary;marker_scores;pair_availability;sampling_summary;spatial_graph_diagnostics;spatial_graph_summary;spatial_neighbors;split_assignments;split_summary;unit_table,,,,,,,,,,,,,,,,
