Audit group,Subject,Registered detail,Local artifact value,Interpretation,Source artifact
LR starter list,common_lr_starter,Frozen literature-curated starter list used by the LR/pathway heuristic.,"16 pairs; pathways: adhesion, angiogenesis, chemokine, cytokine, death_receptor, egf_signaling, growth_factor, immune_checkpoint, matrix, notch_signaling, tgfb_signaling","Coverage failures can arise from this starter-list scope, the assay panel, or downstream module availability; they are not evidence that communication biology is absent.",data/manifests/ligand_receptor_pairs.tsv
LR coverage by dataset,CosMx BCC 6K,LR route proxy evaluates row-level available_pair_count >= 4 or available_module_target_count >= 4.,starter pairs=16; CP-R1 available pairs=16; CP-R1 module targets=not serialized; registry available pairs=16; genes=6195,The row-level CP-R1 coverage threshold can pass in at least one local route row; routing still depends on the shared context-utility score and downstream gate evidence.,results/reports/cp_r1_context_utility_atlas/run_context_utility.csv; data/manifests/artifact_registry.yaml
LR coverage by dataset,CosMx NSCLC,LR route proxy evaluates row-level available_pair_count >= 4 or available_module_target_count >= 4.,starter pairs=16; CP-R1 available pairs=16; CP-R1 module targets=not serialized; registry available pairs=16; genes=980,The row-level CP-R1 coverage threshold can pass in at least one local route row; routing still depends on the shared context-utility score and downstream gate evidence.,results/reports/cp_r1_context_utility_atlas/run_context_utility.csv; data/manifests/artifact_registry.yaml
LR coverage by dataset,CosMx PDAC metastasis,LR route proxy evaluates row-level available_pair_count >= 4 or available_module_target_count >= 4.,starter pairs=16; CP-R1 available pairs=16; CP-R1 module targets=not serialized; registry available pairs=16; genes=1010,The row-level CP-R1 coverage threshold can pass in at least one local route row; routing still depends on the shared context-utility score and downstream gate evidence.,results/reports/cp_r1_context_utility_atlas/run_context_utility.csv; data/manifests/artifact_registry.yaml
LR coverage by dataset,CosMx PDAC 1K,LR route proxy evaluates row-level available_pair_count >= 4 or available_module_target_count >= 4.,starter pairs=16; CP-R1 available pairs=16; CP-R1 module targets=not serialized; registry available pairs=16; genes=1000,The row-level CP-R1 coverage threshold can pass in at least one local route row; routing still depends on the shared context-utility score and downstream gate evidence.,results/reports/cp_r1_context_utility_atlas/run_context_utility.csv; data/manifests/artifact_registry.yaml
LR coverage by dataset,Xenium breast biomarkers,LR route proxy evaluates row-level available_pair_count >= 4 or available_module_target_count >= 4.,starter pairs=16; CP-R1 available pairs=2; CP-R1 module targets=5; registry available pairs=2; genes=542,The row-level CP-R1 coverage threshold can pass in at least one local route row; routing still depends on the shared context-utility score and downstream gate evidence.,results/reports/cp_r1_context_utility_atlas/run_context_utility.csv; data/manifests/artifact_registry.yaml
LR coverage by dataset,Xenium breast 5K,LR route proxy evaluates row-level available_pair_count >= 4 or available_module_target_count >= 4.,starter pairs=16; CP-R1 available pairs=not serialized; CP-R1 module targets=not serialized; registry available pairs=0-10; genes=9475,"Registry pair-availability artifacts show measured pairs, but the CP-R1 route rows did not serialize the count; this is coverage evidence, not route permission by itself.",results/reports/cp_r1_context_utility_atlas/run_context_utility.csv; data/manifests/artifact_registry.yaml
Shared-score comparator boundary,Spatial stats / GraphSAGE style / ContextGate,These comparators consume CP-R1 context_utility_score or the same residual-utility evidence and differ primarily by threshold and claim-release policy.,S29/S34 report CP-Q2 rows; S33A/S38 report threshold stress and policy directionality.,"Their agreement is a threshold-policy sensitivity result, not independent algorithmic consensus from unrelated model classes.",src/cellpack/method_comparison.py; manuscript/tables/supp_table_s29_method_scope_fairness_audit.csv
CellPack input ceiling,CellPack tiny,Smoke-scale packed-context transformer uses 64-128 genes per sequence.,"64-128 genes cover 0.7%-23.6% of included panels and 0.7%-1.4% of the 9,475-gene Xenium breast panel.",CellPack is input-constrained; the universal real-data gate-1 failure is not presented as a CellPack capacity ceiling.,manuscript/tables/supp_table_s29_method_scope_fairness_audit.csv
SOTA exclusion scope,"BANKSY, COMMOT, SpatialDM, SpaTalk, NicheCompass, CellNeighborEX, GraphST, STAGATE, SpaGCN, Nicheformer, Novae",No named high-capacity or domain-specialized tool emits registered CP-Q route rows in the current release.,S29 lists all named tools as future adapters requiring CP-Q prediction rows and matched wrong-context denominators.,The 0 context_allowed count is scoped to registered lightweight comparators and cannot be quoted as evidence that these named tools fail.,manuscript/tables/supp_table_s29_method_scope_fairness_audit.csv; manuscript/reviewer_hardening/sota_feasibility_ledger.csv
Panel-depth confounding,S32 panel-depth strata,"Panel-depth summaries are descriptive strata, not a causal panel-size experiment.","The <1,100-gene and >=5,000-gene strata differ in cancer context, donor/sample structure, FOV constraints, and target definitions.","Panel observability remains one candidate explanation among power, FOV/sample artifacts, replication limits, and target-definition effects.",manuscript/tables/supp_table_s32_panel_depth_observability_audit.csv
