router_label_id,context_utility_id,source_phase,source_dataset,run_label,evidence_class,route_label,training_route_label,label_usage,training_eligible,uses_heldout_biological_outcome,leakage_risk,leakage_reason,deterministic_split,split_metadata_status,training_leakage_violation
rl_001,cus_001,CP-4.10,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,negative_context,expression_only,abstain_uncertain,evaluation_only,False,True,blocked_high,Biological outcome rows are held out from router training.,heldout_evaluation,run_level_only,False
rl_002,cus_002,CP-4.11,xenium_breast_biomarkers_v1,cp6a_loader_smoke,negative_context,expression_only,abstain_uncertain,evaluation_only,False,True,blocked_high,Biological outcome rows are held out from router training.,heldout_evaluation,run_level_only,False
rl_003,cus_003,CP-4.11,xenium_breast_biomarkers_v1,cp6b_loader_top4_s1000,negative_context,expression_only,abstain_uncertain,evaluation_only,False,True,blocked_high,Biological outcome rows are held out from router training.,heldout_evaluation,run_level_only,False
rl_004,cus_004,CP-4.11,xenium_breast_biomarkers_v1,cp6c_loader_all12_s500,negative_context,expression_only,abstain_uncertain,evaluation_only,False,True,blocked_high,Biological outcome rows are held out from router training.,heldout_evaluation,run_level_only,False
rl_005,cus_005,CP-4.7,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,negative_context,expression_only,abstain_uncertain,evaluation_only,False,True,blocked_high,Biological outcome rows are held out from router training.,heldout_evaluation,run_level_only,False
rl_006,cus_006,CP-4.7R,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,insufficient_evidence,abstain_uncertain,abstain_uncertain,train_allowed,True,False,low,Metadata or coverage evidence can train abstention behavior.,train_metadata,run_level_only,False
rl_007,cus_007,CP-4.8,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,positive_control_only,full_context,full_context,train_allowed,True,False,low,Synthetic/injected signal can train route mechanics only.,train_synthetic,run_level_only,False
rl_008,cus_008,CP-4.9,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,negative_context,expression_only,abstain_uncertain,evaluation_only,False,True,blocked_high,Biological outcome rows are held out from router training.,heldout_evaluation,run_level_only,False
rl_009,cus_009,CP-6E,cosmx_nsclc_ffpe_v1,cp6e_lung9_rep1_s5000,coverage_only,abstain_uncertain,abstain_uncertain,train_allowed,True,False,low,Metadata or coverage evidence can train abstention behavior.,validation_metadata,run_level_only,False
rl_010,cus_010,CP-6F,cosmx_nsclc_ffpe_v1,cp6f_lung9_rep1_fovstrat_s8000,coverage_only,abstain_uncertain,abstain_uncertain,train_allowed,True,False,low,Metadata or coverage evidence can train abstention behavior.,validation_metadata,run_level_only,False
rl_011,cus_011,CP-6G,gse277782_cosmx_pdac_metastasis,cp6g_gse277782_slides12_s10080,borderline_preflight,abstain_uncertain,abstain_uncertain,validation_only,False,False,medium,Borderline preflight rows tune caution but do not train targets.,validation_caution,run_level_only,False
rl_012,cus_012,CP-6G,gse277782_cosmx_pdac_metastasis,cp6g_gse277782_slides12_s12600,borderline_preflight,abstain_uncertain,abstain_uncertain,validation_only,False,False,medium,Borderline preflight rows tune caution but do not train targets.,validation_caution,run_level_only,False
rl_013,cus_013,CP-6G,gse277782_cosmx_pdac_metastasis,cp6g_gse277782_slides12_s16800,borderline_preflight,abstain_uncertain,abstain_uncertain,validation_only,False,False,medium,Borderline preflight rows tune caution but do not train targets.,validation_caution,run_level_only,False
rl_014,cus_014,CP-6G,gse277782_cosmx_pdac_metastasis,cp6g_gse277782_slides12_s9000,borderline_preflight,abstain_uncertain,abstain_uncertain,validation_only,False,False,medium,Borderline preflight rows tune caution but do not train targets.,validation_caution,run_level_only,False
rl_015,cus_015,CP-6J,gse310352_cosmx_pdac_1k,cp6j_gse310352_all8_s20000,negative_context,expression_only,abstain_uncertain,evaluation_only,False,True,blocked_high,Biological outcome rows are held out from router training.,heldout_evaluation,run_level_only,False
