Decision ID,Source table,Dataset,Task,Target,Route,Reason code,Failure class,Failed gate count,Failed gates,First failed gate,First non-residual failed gate,Mapped taxonomy gates,Evidence pointer,Residual utility pass,Effect-control evidence pass,Wrong-context separation pass,Held-out replication pass,Leakage audit pass,No unresolved downgrade pass
cg_06cc0ce8ce2a,run context utility,CosMx BCC 6K,context utility detection,cp6l cosmx 6k bcc s12000,Expression only,unreplicated context signal,labels not replicated,3,Residual utility; Held-out replication; No unresolved downgrade,Residual utility,Held-out replication,Held-out replication; No unresolved downgrade,results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_017,0,1,1,0,1,0
cg_2417d7e2ffa2,run context utility,CosMx BCC 6K,context utility detection,cp6l cosmx 6k bcc s20000,Expression only,unreplicated context signal,labels not replicated,3,Residual utility; Held-out replication; No unresolved downgrade,Residual utility,Held-out replication,Held-out replication; No unresolved downgrade,results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_018,0,1,1,0,1,0
cg_6f3fa076dcb4,run context utility,CosMx PDAC 1K,context utility detection,cp6j gse310352 all8 s20000,Expression only,insufficient power or uncertainty,insufficient power,4,Residual utility; Effect-control evidence; Held-out replication; No unresolved downgrade,Residual utility,Effect-control evidence,Effect-control evidence; Held-out replication; No unresolved downgrade,results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_015,0,0,1,0,1,0
cg_b21b8ac797d6,run context utility,CosMx PDAC 1K,context utility detection,cp6j gse310352 all8 s30000,Expression only,insufficient power or uncertainty,insufficient power,4,Residual utility; Effect-control evidence; Held-out replication; No unresolved downgrade,Residual utility,Effect-control evidence,Effect-control evidence; Held-out replication; No unresolved downgrade,results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_016,0,0,1,0,1,0
cg_2834ce445a63,positive control ladder,CosMx PDAC 1K,positive null control ladder,null no context signal,Expression only,synthetic null rejected,not applicable,1,Residual utility,Residual utility,none,Residual utility,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:null_no_context_signal,0,1,1,1,1,1
cg_37c5dee03ae3,positive control ladder,CosMx PDAC 1K,positive null control ladder,null no context signal,Expression only,synthetic null rejected,not applicable,1,Residual utility,Residual utility,none,Residual utility,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed1:null_no_context_signal,0,1,1,1,1,1
cg_636306c5cd87,positive control ladder,CosMx PDAC 1K,positive null control ladder,null no context signal,Expression only,synthetic null rejected,not applicable,1,Residual utility,Residual utility,none,Residual utility,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed2:null_no_context_signal,0,1,1,1,1,1
cg_6e728e52f2f2,positive control ladder,CosMx PDAC 1K,positive null control ladder,null no context signal,Expression only,synthetic null rejected,not applicable,1,Residual utility,Residual utility,none,Residual utility,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:unit_hash_split:seed0:null_no_context_signal,0,1,1,1,1,1
cg_71911ad72d0c,positive control ladder,CosMx PDAC 1K,positive null control ladder,null no context signal,Expression only,synthetic null rejected,not applicable,1,Residual utility,Residual utility,none,Residual utility,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:unit_hash_split:seed1:null_no_context_signal,0,1,1,1,1,1
cg_b548896ab362,positive control ladder,CosMx PDAC 1K,positive null control ladder,null no context signal,Expression only,synthetic null rejected,not applicable,1,Residual utility,Residual utility,none,Residual utility,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:unit_hash_split:seed2:null_no_context_signal,0,1,1,1,1,1
